hostname;port;description
swLPD-1B-1;gi1/0/23;PC_BPIASECKI
swLPD-2B-3;gi1/0/17;D_10.28
swGPD-S2;gi1/0/20;PC_DWAWRZYNIAK-M
swLPD-2B-1;gi1/0/1;IOT_MOS-SKONF-ZAKUPY
swLPD-1B-1;gi1/0/24;PC_PBERDECHOWSKI-M
swGPD-S1;gi1/0/20;PC_PPOZIEMBA
swLPD-2B-3;gi1/0/18;PC_KMALOLEPSZA
swGPD-S2;gi1/0/22;D_10.48
swLPD-2B-1;gi1/0/2;D_10.25
swLPD-1B-1;gi1/0/25;VOIP_130.12
swGPD-S1;gi1/0/21;PC_RWOZNIAK-M
swLPD-2B-3;gi1/0/19;VOIP_130.19
swGPD-S2;gi1/0/23;PC_SKONF-IT-MALA
swLPD-2B-1;gi1/0/3;PC_MKANIA
swGPD-S1;gi1/0/22;PC_SMARKIEWICZ
swLPD-1B-1;gi1/0/26;DOKUMENTOMAT
swLPD-2B-3;gi1/0/22;PC_MMORAWIAK
swGPD-S2;gi1/0/24;I-TEC
swLPD-2B-1;gi1/0/5;AP_LPD-2B-1-3
swGPD-S1;gi1/0/23;PC_SWOZNIAK-M
swLPD-1B-1;gi1/0/27;PC_JAWOREK
swLPD-2B-3;gi1/0/23;VOIP_130.23
swGPD-S2;gi1/0/26;D_10.2
swLPD-2B-1;gi1/0/6;PC_KMACIEJEWSKA
swLPD-1B-1;gi1/0/28;PC_LGACZYNSKA-M
swGPD-S1;gi1/0/24;PC_DKUBACKI
swLPD-2B-3;gi1/0/24;D_10.62
swGPD-S2;gi1/0/28;PC_KSTEFANIAK-M
swLPD-2B-1;gi1/0/7;AP_LPD-2B-1-7
swLPD-1B-1;gi1/0/31;PC_MBURLIKOWSKA
swGPD-S2;gi1/0/30;PC_KSTRYJAKIEWICZ-M
swGPD-S1;gi1/0/25;PC_AGRUSZKA
swLPD-2B-3;gi1/0/25;PC_MFRON
swLPD-2B-1;gi1/0/8;D_10.40
swLPD-1B-1;gi1/0/32;D_10.17
swGPD-S1;gi1/0/26;PC_AKRET
swLPD-2B-3;gi1/0/26;PC_OOWCZAREK
